sentence_quantity,word_count,upper_ratio,reading_ease,GF_index,vader_compound,type,I,N,F,P
134,1751,0.10734017363851618,63.29,8.9,0.3515723880597014,istj,1,-1,-1,-1
116,896,0.36029992107340175,17.18,32.61,0.20585172413793104,istj,1,-1,-1,-1
110,752,0.023982558139534885,74.15,12.93,0.09223272727272727,istj,1,-1,-1,-1
195,2378,0.12839673913043478,61.5,12.77,0.16068461538461534,istj,1,-1,-1,-1
120,1407,0.15123094958968347,12.88,32.62,0.015756666666666676,istj,1,-1,-1,-1
156,2282,0.05412647374062165,72.66,8.73,0.1839173076923077,istj,1,-1,-1,-1
171,1473,0.3355263157894737,75.61,7.05,0.10911754385964914,istj,1,-1,-1,-1
181,2557,0.05703125,72.46,8.34,0.15505966850828726,istj,1,-1,-1,-1
67,737,0.05016051364365971,69.28,8.07,0.16548955223880596,istj,1,-1,-1,-1
182,2070,0.07866254348666409,69.21,9.87,0.1994395604395605,istj,1,-1,-1,-1
165,1403,0.4596466093600764,47.22,21.24,-0.0005903030303030252,istj,1,-1,-1,-1
200,2274,0.06201237557169761,78.35,6.68,0.06594449999999999,istj,1,-1,-1,-1
133,1253,0.07029077117572692,16.33,30.65,0.02458571428571429,istj,1,-1,-1,-1
62,531,0.16376306620209058,59.03,11.91,0.06825645161290322,istj,1,-1,-1,-1
144,1292,0.5009708737864078,65.96,10.65,0.03679027777777782,istj,1,-1,-1,-1
186,2157,0.07724516315333525,77.13,6.11,0.1408,istj,1,-1,-1,-1
65,715,0.517829457364341,-14.1,35.14,0.03555538461538461,istj,1,-1,-1,-1
106,1109,0.08946375639989221,69.86,12.67,0.15347641509433965,istj,1,-1,-1,-1
165,1469,0.07545433632390154,35.24,25.85,-0.03776848484848484,istj,1,-1,-1,-1
139,1452,0.16238956668068993,-1.04,37.2,-0.024435971223021574,istj,1,-1,-1,-1
147,1771,0.18534773801485482,49.56,20.46,-0.023395918367346932,istj,1,-1,-1,-1
188,2310,0.0754414125200642,46.78,18.2,0.05219468085106384,istj,1,-1,-1,-1
161,1395,0.004904966278356836,7.5,33.99,0.08831987577639754,istj,1,-1,-1,-1
111,917,0.03665734700217459,28.58,24.03,0.04197747747747749,istj,1,-1,-1,-1
189,1836,0.18633540372670807,67.52,13.01,0.07713756613756616,istj,1,-1,-1,-1
140,1448,0.07707553402334287,19.61,32.16,0.07928500000000002,istj,1,-1,-1,-1
59,671,0.1575958353052532,74.59,7.19,0.33455084745762703,istj,1,-1,-1,-1
177,2385,0.06004824171638949,59.47,13.78,0.09203502824858756,istj,1,-1,-1,-1
189,1635,0.40159462861938733,68.44,12.97,0.0933989417989418,istj,1,-1,-1,-1
34,460,0.0562015503875969,59.47,13.67,0.14605,istj,1,-1,-1,-1
71,848,0.18646288209606987,69.86,12.93,0.15161549295774648,istj,1,-1,-1,-1
192,2266,0.1361785948785292,65.86,11.07,0.016927604166666676,istj,1,-1,-1,-1
195,2210,0.01031636863823934,59.37,13.7,0.05763128205128204,istj,1,-1,-1,-1
201,2907,0.017119928666963886,76.76,9.14,0.03312786069651742,istj,1,-1,-1,-1
