,word,frequency
164,amp,8347
955,check,4720
645,write,4257
321,character,4110
1187,cause,4066
317,book,4038
30,hello,3982
289,tho,3925
45,message,3905
300,video,3797
205,damn,3695
129,n,3460
295,understand,3443
161,wow,3420
108,favorite,3416
537,movie,3416
367,lie,3413
256,o,3401
166,b,3355
208,die,3334
160,win,3323
14,dream,3309
83,album,3282
357,honest,3274
66,social,3272
398,reason,3250
114,hell,3245
39,m,3210
377,music,3197
156,turn,3148
938,stream,3126
43,medium,3113
312,away,3077
134,photo,3071
341,fact,3064
708,hey,3041
375,mom,3039
302,wear,2968
799,art,2967
16,enjoy,2963
464,course,2959
523,learn,2952
902,men,2948
87,bit,2940
1264,k,2928
697,finish,2920
216,family,2892
512,idea,2891
320,cat,2862
184,account,2844
584,story,2818
103,different,2815
192,brother,2794
276,second,2786
223,glad,2785
109,fucking,2780
348,gay,2753
248,meet,2743
434,ago,2718
275,season,2710
346,free,2701
551,pic,2697
172,hit,2690
168,close,2690
46,moment,2688
1125,wake,2660
696,fine,2656
100,deserve,2651
420,weird,2648
279,share,2648
258,open,2641
505,honestly,2638
318,bring,2614
558,question,2597
416,type,2590
167,c,2585
49,p,2530
1297,vote,2510
285,support,2504
338,drop,2503
975,picture,2478
227,h,2461
943,thought,2458
430,add,2429
720,kill,2428
479,episode,2411
710,hold,2409
272,rest,2406
487,feeling,2402
476,draw,2350
230,imagine,2337
111,group,2334
994,yall,2321
260,pay,2315
550,phone,2308
165,anymore,2305
374,minute,2301
964,hurt,2297
562,realize,2277
268,problem,2271
965,joke,2265
13,direct,2260
683,date,2252
180,timeline,2239
796,wonder,2229
490,fight,2222
314,bitch,2203
1109,speak,2196
182,able,2175
170,f,2169
1095,reply,2120
418,voice,2118
169,e,2105
859,bts,2103
70,summer,2095
125,line,2074
139,shut,2052
840,sick,2051
65,single,2020
614,concert,2019
1061,join,2018
204,dad,1990
406,set,1985
462,comment,1974
361,j,1969
526,list,1966
337,drink,1954
345,forever,1928
236,kiss,1918
62,scream,1903
72,test,1887
211,dog,1883
273,save,1874
185,amaze,1868
647,act,1867
883,fall,1853
788,update,1844
767,sit,1842
552,plan,1823
56,ready,1804
136,pull,1796
133,past,1782
483,experience,1781
414,suppose,1780
764,sign,1774
501,grow,1771
488,felt,1771
372,member,1763
1443,spend,1759
383,order,1759
410,smile,1751
1080,parent,1748
305,young,1742
202,cut,1729
952,automatically,1725
390,pick,1725
99,dance,1704
9,class,1691
722,light,1686
138,scene,1684
292,tiktok,1682
433,age,1681
41,matter,1679
750,release,1676
1043,easy,1675
214,expect,1670
684,decide,1660
290,throw,1654
319,car,1645
412,stand,1627
190,block,1622
1021,country,1622
761,seriously,1612
616,cover,1609
329,dead,1608
620,especially,1608
670,choose,1606
37,luck,1603
287,team,1601
1001,bed,1595
106,era,1573
774,suck,1565
387,party,1564
590,taste,1562
141,sister,1547
581,st,1547
893,hug,1538
105,energy,1531
484,explain,1527
61,safe,1520
1440,scar,1518
457,catch,1514
517,issue,1504
582,state,1502
181,worry,1499
912,personality,1479
405,sell,1472
35,link,1462
565,remind,1452
94,color,1445
811,drive,1437
48,number,1436
908,notice,1426
218,fast,1422
157,version,1421
1176,straight,1402
53,pride,1396
145,stalker,1393
496,future,1392
967,kpop,1391
67,space,1389
524,level,1386
2349,wordle,1384
1828,goodnight,1383
636,private,1378
1293,study,1374
766,sing,1372
28,hat,1372
868,content,1372
1326,express,1371
19,fav,1367
343,fit,1362
1224,swear,1357
1341,tire,1345
1022,couple,1344
1333,pain,1341
445,bear,1340
576,ship,1335
104,edit,1334
107,excite,1319
872,delete,1313
1453,anime,1311
1000,artist,1310
153,tear,1309
739,pass,1307
1311,address,1306
95,comeback,1302
784,trust,1300
992,unfollowed,1300
991,txt,1298
186,app,1290
465,create,1279
110,gorgeous,1277
308,annoy,1270
866,coffee,1264
1164,pop,1258
438,appreciate,1256
760,series,1246
3,build,1241
804,card,1240
773,strong,1238
532,mention,1233
694,figure,1230
201,covid,1227
1564,piece,1221
1212,follower,1220
2112,possible,1220
396,random,1220
57,relationship,1216
899,july,1216
330,death,1216
351,gon,1214
599,track,1206
1204,bias,1202
721,king,1200
531,mental,1198
253,mother,1190
925,shake,1189
540,note,1185
467,currently,1183
31,important,1177
71,tag,1177
610,worth,1174
1649,ticket,1174
1505,event,1169
1031,deal,1163
1136,beat,1156
