,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 11,Topic 12,Topic 13,Topic 15,Topic 16,Topic 17,Topic 18
istj,0.0737333626598422,0.11023462207611859,0.05220339724126243,0.06609141586938806,0.09130842782982107,0.1100860634392524,0.04844455407462638,0.02946462181730971,0.017594743652765525,0.025041257030503423,0.04089980441503975,0.048489989129732375,0.06289905906725632,0.09277902794458555,0.021313592303183238,0.02550248911326563,0.024235415003386853
isfj,0.04466920741230082,0.08440490472500872,0.03598545674732712,0.06159550789682196,0.08597078596685506,0.14875566598868398,0.029564170715415318,0.06305836226528509,0.04081843868113667,0.029019272577213318,0.04041526886117476,0.06806908344266388,0.05070183309201708,0.09065645976193332,0.022368759514522805,0.02027437911382359,0.03202750081063741
infj,0.08286767249745734,0.10027030266937868,0.04715845826914991,0.039737016617211456,0.05102526546499589,0.11653247768686682,0.037631659256909075,0.03771200695736794,0.02274675089840247,0.021404503282581422,0.078454902129359,0.0333132225105017,0.0797740074923845,0.12677514924459002,0.020238563345601257,0.017228958901626925,0.025070660042916006
intj,0.12282031247808387,0.10721952595706634,0.055258907901945174,0.03801838289719328,0.05451386763967832,0.08077701502697053,0.03386677351742682,0.03713831182516871,0.01813682204484975,0.022586303949294593,0.08716503719405108,0.02152988259268206,0.08877833952433478,0.12092034483826264,0.015935388969332245,0.01693691333417011,0.01866165193926215
istp,0.03151507766974354,0.10805318300684896,0.06904795064225248,0.05731854855827836,0.11158011504661444,0.10138280618085983,0.05186979807925319,0.04299562309684799,0.025517920257019634,0.03765573625953278,0.03353108287492905,0.029670088542949277,0.038941433981721556,0.0736520379114738,0.0383738781408425,0.04124445639045508,0.032032809352734705
isfp,0.029833339215723363,0.11932103774235821,0.06300957934504355,0.064918873744348,0.08796601948299648,0.14386900117043427,0.045523754626054,0.029432449858705134,0.039437172361277646,0.02510126072011388,0.038749887515862606,0.04532168251843327,0.02696817373271931,0.0760483552213826,0.03149215713558217,0.025320518730648087,0.03953876903925976
infp,0.05143760928510379,0.14185370794069607,0.05852253581269622,0.03873519464865415,0.08075777738441657,0.11171399104295716,0.047524126081846585,0.027816567862181375,0.029882454391771434,0.016330628725679083,0.060780107676158344,0.027780802768837577,0.04223943253984399,0.09579501391095979,0.02883767067512895,0.025863871266138826,0.028989626773645923
intp,0.07488308521633809,0.1382991764602157,0.06476859767852923,0.03791211229449481,0.09639109344189425,0.09294733625365922,0.053401982058851535,0.031786976094724806,0.017580343518224677,0.01722319493478524,0.07564206293128671,0.036776071676106505,0.042948118700461606,0.07817534814899789,0.023858909838537733,0.02092747272152104,0.01836622407214431
estp,0.04480247561139549,0.14610945448795973,0.1021263196151267,0.03924470044679765,0.06780788126456173,0.09048654774542228,0.06832735898300597,0.02041851652571495,0.011213253519199497,0.010771504932818062,0.08518420244436128,0.04854459841601056,0.04245295313259703,0.08371795608225512,0.029977628769702277,0.015468788408325053,0.026778732609964207
esfp,0.03654976866839687,0.08759256096527679,0.08404515201689866,0.03237515488184016,0.10552646950414239,0.12490322074246386,0.062400734972157056,0.02864307408558018,0.022202755273088123,0.020987774240255795,0.04446959002698663,0.03419966809558211,0.030459343613628512,0.09587736693885389,0.02409708394195892,0.03542415644775226,0.03229354708044453
enfp,0.06917754161360232,0.1361499350078167,0.06281285867556573,0.03212912395742802,0.07808855486088469,0.10274246939356518,0.03718601085224211,0.029814958516635296,0.015017850282158268,0.012368295417186988,0.0671607250863508,0.02766006820519702,0.06223302041973701,0.12101551970982156,0.0286920183449565,0.0248715588487658,0.019938820292764083
entp,0.07030196904588987,0.1314086756816383,0.1023605574519434,0.023441065236046357,0.09981421996603651,0.07664689067039084,0.06713913007780341,0.01905033083248766,0.009674393134113703,0.01216722053661776,0.0707652453580503,0.015858134906824743,0.044022723334222205,0.08710654111171078,0.027600937266158185,0.04444101115340293,0.018029583460949742
estj,0.08832929483826403,0.08578643810930468,0.05961274427978357,0.04145678740788742,0.055767941794216805,0.10569629702794048,0.06128386075455817,0.04083049153562985,0.024154756994386933,0.011024544871080578,0.06931606144675759,0.03619629677978307,0.07319959349735183,0.14374871386680302,0.014084786777778918,0.02227464704446902,0.013587329683363306
esfj,0.03807224231448864,0.07981786475753498,0.06524779078314341,0.058785889961273784,0.05691157537548861,0.10887693710513607,0.04064661638949474,0.029144671976350116,0.020926927680765012,0.036098536790242566,0.04462882067522774,0.0673989530166485,0.062340835053016366,0.12798419784019296,0.030604403034331405,0.023608436733307567,0.031015601035653075
enfj,0.07186548643219857,0.09346444728638266,0.04505477673050561,0.03169135149218231,0.05602308669164522,0.11740424017315206,0.03758093747611773,0.03174304840445338,0.031409520901514776,0.022790103529281708,0.06294221458483311,0.045268932137880545,0.07390608444228848,0.13931267359589672,0.020963078002273417,0.014252995687109214,0.03304135225051871
entj,0.14450939068209856,0.09350964473583924,0.04699347395871622,0.029405492739323722,0.06757617276043251,0.06792510551440174,0.03771032295887664,0.02251554361480813,0.020010501903967994,0.018960508995917485,0.07087873440073592,0.024800418111940368,0.07180647796001813,0.15172252765822572,0.01114484934213673,0.023947902911824196,0.02051960552348793
