,E,I,S,N,T,F,J,P
Topic 0,0.023644054387732337,0.018492602871313414,0.01984984764956989,0.022286809609475856,0.018898802417557002,0.02323785484148875,0.020297454723277056,0.0218392025357687
Topic 2,0.04941460697227373,0.049950494665466354,0.046405005569239134,0.05296009606850095,0.05329757593533299,0.04606752570240708,0.05360315499476623,0.04576194664297386
Topic 3,0.04854768684450289,0.04606445295508983,0.03976288751194671,0.05484925228764602,0.04724525822809275,0.04736688157149997,0.05410238977700542,0.04050975002258732
Topic 4,0.02745329505975347,0.03531571462690334,0.03382049603737473,0.028948513649282075,0.03364558315131682,0.02912342653533999,0.031130684739867995,0.031638324946788816
Topic 5,0.00972624637980453,0.016198235030695486,0.013772730433513063,0.012151750976986954,0.012462694803824049,0.01346178660667597,0.012957425225161225,0.012967056185338796
Topic 6,0.016371378382336852,0.021931097784591708,0.02149774755323594,0.016804728613692626,0.015056518012119196,0.02324595815480937,0.01849517583854116,0.019807300328387404
Topic 7,0.023118188366472423,0.0262448679092766,0.02153426501483555,0.02782879126091347,0.024631184048100736,0.024731872227648284,0.022288608043435815,0.027074448232313208
Topic 8,0.05320373439625317,0.051806597338634644,0.04924292109986618,0.05576741063502163,0.047789515914668054,0.057220815820219754,0.047689995552488686,0.05732033618239912
Topic 10,0.027924738530201866,0.02962498828876519,0.030498984448832447,0.02705074237013462,0.030296395489673653,0.02725333132929341,0.023141441394787566,0.034408285424179494
Topic 11,0.027574613529101618,0.035602080124978605,0.03488848382601806,0.028288209828062162,0.022225702952623803,0.04095099070145641,0.033685312082845316,0.029491381571234907
Topic 13,0.0692379160305006,0.08800158538458405,0.08912730458975163,0.06811219682533301,0.06341392644267413,0.09382557497241052,0.08124208725737864,0.07599741415770601
Topic 14,0.01902014952464733,0.0219987884579407,0.02316492037725619,0.017854017605331833,0.019172330645107462,0.02184660733748056,0.023089983260470907,0.01792895472211712
Topic 15,0.015862704383236618,0.020454485281835764,0.022877557555866915,0.013439632109205464,0.020412584190056315,0.015904605475016063,0.022281617958292758,0.014035571706779623
Topic 16,0.030749369276659732,0.032823813735846134,0.03901157697347254,0.024561606039033335,0.02639161397514573,0.03718156903736014,0.035772835550461166,0.027800347462044704
Topic 17,0.04614459040051416,0.03907442728494976,0.03162675603039495,0.05359226165506898,0.05166830419413788,0.03355071349132605,0.05551120759374811,0.029707810091715817
