,Topic 0,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 10,Topic 11,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
istj,0.01394046955037396,0.05597534188940608,0.03934771688005099,0.04163941584700219,0.0111761384565173,0.01837826429556717,0.019649000576798057,0.04026707672024664,0.03355680167824597,0.024094068427170212,0.08303618000897857,0.01937416945657229,0.04565910488172554,0.042408866769257945,0.044094556476682055
isfj,0.018773145394139386,0.040328770950594305,0.0394432131852277,0.0451303360755796,0.024913620985629038,0.024006413487288707,0.02808206924827483,0.04406782502958747,0.027218009289324503,0.050454589101458884,0.13791721694075762,0.028628113816291892,0.02224214826568701,0.05534878005912585,0.02825530882817295
infj,0.02445669616428055,0.057333278308369276,0.07266449120180096,0.02579157999519811,0.012591436995087898,0.01885050151162511,0.02421694968057428,0.052529369495136306,0.019958053925818238,0.034459654547073885,0.09131191268197474,0.021251066674948825,0.012518055626820008,0.02740901290197913,0.054917109551635195
intj,0.017222252341484987,0.06489993479677562,0.06397558966567718,0.03219520088721942,0.014506947944641775,0.012134725617785188,0.021406121158565924,0.04176350692297405,0.01963786223514361,0.025661958244176632,0.059748893627733474,0.02168957839481843,0.016050369999585864,0.01710505377005026,0.07782035814853328
istp,0.015221506293533927,0.03747797016580642,0.03260369182930497,0.047934001024487555,0.022749743157926883,0.026492142259465792,0.02481827022773259,0.05605924536022428,0.047145748349378215,0.028248496441321568,0.07789625689522472,0.03182926679527073,0.018558609075453567,0.024913081137440264,0.018808157216811693
isfp,0.014319108548327204,0.03875574369728113,0.027541630704841336,0.030335420657946345,0.016672225840165027,0.03785796284338902,0.024392222077270532,0.05149202569174055,0.032700528333920405,0.05776771067308052,0.10812877202083568,0.02251357135381916,0.018472639478442562,0.041978631805116365,0.017280758048913443
infp,0.025591099630473083,0.05313210727087981,0.04662780839377991,0.025428818893713515,0.011354425850393245,0.02227664698866945,0.031778236232224026,0.06783856726234119,0.03113710282732583,0.04204046922231002,0.08519074715906454,0.01643616782003334,0.0131492343244459,0.023002295239238777,0.02856849297971673
intp,0.018416545047894233,0.05170081024461822,0.046311481780035656,0.034070943634079996,0.015621341015202728,0.015452125272943274,0.03561607407277257,0.060435162226826634,0.02564579967096479,0.022089694343237085,0.060782703742103004,0.014268373351770908,0.016985720602525654,0.030424788204560512,0.04285067702913277
estp,0.026058768234270245,0.057251995405604245,0.04450154940330322,0.02492282523722679,0.006030982105148724,0.014719584221529658,0.022615482530873122,0.03708506814215071,0.017462822354318633,0.014909595266581165,0.06714472713294527,0.013973953271161008,0.016513516230843378,0.03559128684708412,0.020853701121104677
esfp,0.022211482495246553,0.025919268506343008,0.03588944879370449,0.0354505727674045,0.011731649335809056,0.012429096657985516,0.01548905448418799,0.06418409448231133,0.04063644783758948,0.034632474207756295,0.08578103567462635,0.019443016714496646,0.011167822980433843,0.028992428472112555,0.02602949394312073
enfp,0.027691154358406203,0.05186175959695949,0.05105352688085996,0.025828537082208607,0.010001321319293531,0.018537099873495787,0.029593861201192964,0.05910536394067306,0.02957413851071989,0.023829694278270742,0.07303535552881964,0.013422425714587141,0.011780012340296422,0.024479768100863223,0.042341967984544614
entp,0.025203955677998127,0.049995918256298545,0.03954886239486896,0.029135480277243227,0.009574760858771163,0.010693744509620738,0.03229238503225187,0.062363162352925196,0.05096369550921871,0.012412918137321854,0.05001971510802889,0.011544862755798012,0.005657018621795674,0.013020499889941802,0.04092923241038186
estj,0.021804847222584713,0.0685323119231961,0.05697975764992463,0.023169677551934765,0.00923277631723685,0.011703305632204038,0.020291128959416024,0.04225023999038339,0.02519925151215302,0.028489249459703894,0.06616513438260611,0.015279558674502581,0.026196820712671688,0.025422264312128615,0.07499180174281607
esfj,0.026469453458083166,0.04699864201568181,0.04179609164921636,0.02198171913741611,0.007674707269671628,0.02639521102845763,0.01693689201413127,0.058537793382285076,0.02007226623572933,0.040511687031071886,0.08694911366203867,0.034277712935935206,0.02420979882167774,0.05743727638551458,0.022700270865538014
enfj,0.02639069868295386,0.054210635273147824,0.0639188417625691,0.02304042767325313,0.012754905257358331,0.025614732847563756,0.027365692883330416,0.06001148727768306,0.016730103673919607,0.04391164655062909,0.08229044611116688,0.018800783669732313,0.013697131962325046,0.03880435933493067,0.048312305728966706
entj,0.013322074972315818,0.04054632480095875,0.05469341622157642,0.036097120751340604,0.010808868575146973,0.010878252287837698,0.020361009826395743,0.042092665601613524,0.02275918260796625,0.021899643301478013,0.04251780064377301,0.02541888246096571,0.01767951339584916,0.02224707087070229,0.09299794940764067
