,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18
istj,0.04115754153632315,0.02845242439550396,0.01934685404648566,0.03812270305582503,0.02396129537127972,0.007004081702092325,0.04852020515990258,0.08488288203810826,0.024822814522540496,0.12596092318407812,0.07177134900036039,0.018133447405278585,0.045598976648544176,0.025907439768108893,0.05382329908347347,0.04091516877022682,0.12692256124249574,0.048948947711892725,0.12574708910101629
isfj,0.04604020378878436,0.02387442987774093,0.0150072007703844,0.03793124739735464,0.02912959053266784,0.011115432782509623,0.06423795050016322,0.1268088172578795,0.030715565693454055,0.12372931831576173,0.05385768962654625,0.04562567027710179,0.027228950278475786,0.023107604015582022,0.07231743072548892,0.04450630148005655,0.09367613460494045,0.042148861857920286,0.08894159955344638
infj,0.03575169490304499,0.022227777071323215,0.012386415752740038,0.023263682743214137,0.027946620209340002,0.012473098125944989,0.033231867784984055,0.10416166222969558,0.03475325052502829,0.14035404087356745,0.07490577521619907,0.02752717976047138,0.05433854764543407,0.018516995564531753,0.05419425712165443,0.031968673471427525,0.18571604346019457,0.023034028071047725,0.08324838894124555
intj,0.03254294193478631,0.02273001045310656,0.012040327132033388,0.02740015654072381,0.026448566354852276,0.013170688443845668,0.02098274359867017,0.08117530668818623,0.028795882619234013,0.13031882547144194,0.07105934751538541,0.020365338114345304,0.07192889778799232,0.018371850467346552,0.03887263066366808,0.028410465386366365,0.23288625971241128,0.017480980917729896,0.1050187797428173
istp,0.05426600282699929,0.03654460106528736,0.011470824715824491,0.049474146324333584,0.03392251696107309,0.012914627663945065,0.031105929685748376,0.10175334588371414,0.04571182644632392,0.11586082857253682,0.06576638187077126,0.027117065514287175,0.01751514618386107,0.04237074918993528,0.04603861287475497,0.042255010521285906,0.0763393854377607,0.029761350300431463,0.15981164652490318
isfp,0.04976044837722251,0.02938591818545998,0.012804962459038715,0.04548035012275391,0.022797761004251918,0.012436699990230062,0.0451072626424531,0.09750009522542676,0.040036833530646555,0.12466857030364069,0.0704814569715887,0.047894948995552813,0.017050068355410862,0.02874587233708372,0.06828851007911702,0.04329636275641357,0.06224867830436833,0.041348794786933915,0.1406664063878197
infp,0.035110596423919206,0.024708339424682216,0.016929275710931797,0.035474689064596616,0.024957781002943272,0.014269980884409181,0.02847220459741312,0.07956191271800102,0.05337852057251246,0.12520253889027383,0.09433160620710268,0.03472689070365905,0.032319956182119185,0.027509551239664757,0.05669356898515716,0.031144386434419014,0.11366005699675892,0.029474350711228475,0.14207379350387617
intp,0.029426618624933457,0.029113738655003895,0.020078610949772698,0.04009969060213962,0.037052929200875995,0.00913329936528836,0.037584283050112556,0.0741856996973891,0.04952243656810566,0.10458953210118135,0.08313028130137505,0.021390265362777574,0.039552720819544966,0.02298513404135625,0.04789261293097075,0.025925760567818337,0.1357051552095857,0.023768085542118487,0.1688631473619282
estp,0.03440131870655023,0.028483606166446407,0.011644656107928314,0.03555666004580416,0.060941791673940315,0.018030757880515013,0.04274271500562463,0.055590779176454816,0.03637665987815126,0.11279463110531651,0.09827262655813683,0.009550871554747573,0.025742968130653025,0.016487013809455674,0.048036674008289995,0.0478511299091042,0.1134190181336453,0.015150496769274468,0.1889256263425341
esfp,0.032450607876999965,0.04115423251228983,0.011550727668189462,0.053515856659053486,0.02571846178109589,0.016093330948212404,0.03641301563510197,0.08272791283816959,0.05169524576170773,0.13787783514571753,0.055144402415507277,0.030062534652914884,0.024094800781051747,0.03264841935559935,0.057046852299794115,0.04369004611620683,0.07379130268092357,0.014157725649338631,0.18016669054184437
enfp,0.028449661365861967,0.02060493729769294,0.01402669007357474,0.029248634625387408,0.02495402021672012,0.014072015884585011,0.028347323807208023,0.08359377622714288,0.04635971420797287,0.1508724471276451,0.08420420508684154,0.015342473905103961,0.046002415603996816,0.027487524736617485,0.04534554658757259,0.029197771919804546,0.150214637604187,0.020730490121951897,0.14094571391894528
entp,0.0144700274327985,0.03358259230464976,0.015728612512881872,0.03620062419274828,0.041657758365381374,0.013512889741775879,0.0164031119588728,0.0518921613824917,0.05551261853873177,0.12042150518479236,0.10159922338222825,0.010823332253245253,0.03926054451070397,0.040764939662566446,0.0351070528214448,0.026330710214301965,0.12920666166885214,0.013735666184757018,0.20378996633443763
estj,0.020940646920257957,0.028756596093511756,0.016273810224492428,0.03339401715363047,0.039710780264220286,0.009003385042753373,0.03562523877607654,0.10680655599012594,0.027107756797816778,0.15632752762230442,0.05687042844266092,0.03258970776580189,0.054794619450834116,0.028727300318644632,0.021009980198958843,0.033164965707575544,0.18162749195880118,0.023115901307504332,0.0941532854770758
