,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18
istj,0.008850626632931001,0.11524831465974146,0.08899203766585634,0.020304044918450025,0.02024811130114537,0.0432435529324461,0.021340483323946145,0.08893981975877725,0.02447267863888724,0.015486579356351088,0.046688927281029746,0.018558286452256,0.05738956103152627,0.04008343853714708,0.0997229777035658,0.013378174351639674,0.12568096847316854,0.08593165218699352
isfj,0.009060607864749716,0.12999939136676944,0.07483380229343191,0.02282770239797993,0.02330693357826921,0.02851017484299718,0.017359343601198746,0.06967065659141004,0.03819140128334666,0.02267883137179464,0.06330816288898079,0.017912605702214614,0.03109320667398616,0.02453068768088317,0.1578565899238948,0.03016155946505643,0.08682926743926306,0.06717254611878441
infj,0.017712015717889915,0.15832411442466435,0.13467693489469884,0.020250738576280725,0.02500250502165049,0.03557588758449197,0.014002281711707127,0.06059163384583709,0.023621632163678713,0.022519206152536803,0.03183410758071178,0.01499067522405276,0.06870942986936471,0.01563027070316912,0.10096596976610954,0.02042242474883007,0.08585385557360577,0.09315848451446289
intj,0.011780228468696351,0.128566571006561,0.161768361994327,0.014840861218301502,0.020403883903699436,0.05001874051852234,0.016519788395984152,0.06670790197973119,0.02618739202958114,0.017295978296734106,0.020154396897668427,0.012904646461352413,0.09202853289431556,0.017059081109318322,0.08424159554818285,0.014981017404728457,0.0887587893332003,0.1101058304982
istp,0.009947984919140406,0.08869007786930852,0.05664444931519157,0.034672374415261845,0.04696503841421522,0.057443395049659174,0.03338565041644244,0.09836271263678736,0.03084823021768948,0.024916656498254725,0.027006104347434102,0.012162692459041696,0.017179145583714178,0.018404932724437575,0.11617990938822179,0.024762425197457767,0.13466682730250554,0.09465078963648782
isfp,0.013965464959944706,0.09684803806817213,0.04278428996946244,0.027594959816532382,0.027984564442210983,0.05755931492023954,0.020321892368888667,0.06942976445478236,0.03518037139702961,0.0364937538840747,0.04271367472606855,0.013183097736113793,0.017251183122460267,0.018072912495636268,0.15889288706733462,0.03335602791771226,0.11929400236517933,0.09170760919287774
infp,0.01517643381870664,0.11157585029495848,0.08090589106173815,0.020627465795871398,0.04025432070168658,0.056563137106658334,0.02040792654662225,0.07413184708903216,0.023014003740091608,0.029824090092822223,0.02766915448443489,0.013881298172751761,0.03732512330833417,0.015312019825443014,0.10371557682515976,0.02642533976644453,0.141181172731041,0.10551359615316916
intp,0.009095182692249602,0.09287958303419831,0.09698769190673744,0.015270502772276429,0.03440538038722714,0.07282897948276294,0.016434199817688108,0.08149150372630823,0.01953279330819626,0.03058593426923429,0.03806205110973481,0.010998102370741536,0.04734770366123684,0.014396508446373229,0.08642540010911173,0.013699863907036066,0.13850509328530133,0.12120509242347001
estp,0.015836917628239463,0.08470148837610396,0.0845865965891062,0.026917189423274975,0.025319511974466878,0.09827260622987524,0.010603916757809202,0.08792948711074132,0.011297752497648616,0.01980800501189151,0.04330566333408569,0.0058159150116443925,0.026751458031412767,0.011350705525292142,0.10691283602684053,0.006518200074624474,0.14022150171076647,0.13270742910874106
esfp,0.014075855067272934,0.11231052802190528,0.05050997426489588,0.019252479019118692,0.04005875599854669,0.08561826819967447,0.027629041101669107,0.0893516888580094,0.02100528026739053,0.03098309174162552,0.03618150282197568,0.0098736853508634,0.026924083453195635,0.007927502007370857,0.11807214862018628,0.017361595726156497,0.11296695466904336,0.10103313955722575
enfp,0.014132526467176859,0.1448497312969456,0.10092775640818709,0.019757310903524717,0.037217997011251364,0.05895863170857802,0.02006270781780692,0.07464279110769953,0.015100441128458163,0.027163215288770522,0.029143161514133462,0.014707647686984912,0.053695776755112605,0.011902419184397755,0.08911378659894705,0.010049692061415635,0.11769229581243405,0.11136486317024379
entp,0.013314012342188338,0.084208803937337,0.08974603214621778,0.011547660107141637,0.04319719140463535,0.10101068954323097,0.030571613644922706,0.09036696495120163,0.014001192128634507,0.02907542341068128,0.015247452406320527,0.0152934877028288,0.044597645019415565,0.00674194150053983,0.06301061004900983,0.006209320907300793,0.16044550891428253,0.13496764924319474
estj,0.01618680187677882,0.13867265662848235,0.12171940378235983,0.016236216382799564,0.01637709262366924,0.06992292598701125,0.025181470399044805,0.07093966140640942,0.011383434371290841,0.02176602736440538,0.036694617304498404,0.02234803335237684,0.06962081920189828,0.020554043607711563,0.07425140393103374,0.017571625432582897,0.09862253407592095,0.09387393259234675
esfj,0.010907127116106927,0.15326291682022636,0.06374192233450317,0.024047926686485185,0.03210069477163848,0.059203676734960894,0.012903553735322064,0.05404522492854518,0.04131669050555155,0.038608736318426616,0.06784360978871562,0.03428341390574046,0.03372268884399784,0.02496555127962936,0.11746176248149519,0.014836305118244906,0.09814631858039537,0.06856732029503161
enfj,0.01923704283852617,0.1674416588903184,0.11386221581738923,0.026860445610713157,0.02932035219879415,0.04163993810822012,0.0138965199315174,0.05892749501225558,0.028613954911016176,0.027852068898049007,0.046011986208912586,0.01197273897291446,0.052258178863575824,0.013162600138461003,0.08795690136424243,0.030972205840145733,0.07863170394656203,0.09605012545622532
entj,0.009397715121253064,0.1464146955190781,0.12889506277533785,0.01750172965893721,0.014000710223176954,0.06755183072609366,0.01667146213030817,0.09869941342724661,0.017876883443381543,0.02175479599980228,0.025386055809191985,0.013178988502297352,0.1095310199195009,0.015381971393739195,0.04712085065618851,0.013658036680586572,0.06299075076724396,0.1270743399795638
