,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
istj,0.008238682222751943,0.09689560750428981,0.014867476592357485,0.010054442166848244,0.02784043385364669,0.054017133754654896,0.12011586987382789,0.03245279559995508,0.043633861929037294,0.09698747245249223,0.018423350369535685,0.09553849003557309,0.01535023757631799,0.04345609721858847,0.016902636842880743,0.15344992077886838,0.04286207562380903,0.0073895145513226705,0.05553405137528631,0.04598984850692017
isfj,0.013829309683457653,0.0759045930920885,0.03230915188092135,0.016029002730632343,0.01896135172253228,0.06586741830385638,0.07214285936100538,0.02708019018301946,0.040847004002688876,0.13343708296734294,0.022993126515942364,0.1176339121165266,0.009590821663036028,0.031576775593538726,0.02564009235084086,0.12632484836481475,0.05397607522790277,0.00754602354709777,0.04696448841979453,0.0613458733466839
infj,0.010098001453139244,0.07846620996528887,0.017970964219645554,0.011271391988198938,0.014292937340192064,0.1106191598365128,0.15198960792209512,0.03764856186791223,0.0390632415336137,0.09632081363620493,0.016862249558068684,0.1164587072189456,0.009962715392878204,0.024276759487650106,0.026505363450045498,0.12125329066707709,0.0342134655360911,0.015183843472006015,0.03726828118944456,0.030274433980232652
intj,0.008531551826839737,0.07943794203919437,0.013355975301478834,0.01418300063486525,0.01269398472106073,0.09742219710903034,0.21728285030735112,0.04337440263145287,0.039052670761028266,0.08118006053125651,0.011824209701161508,0.09983582260632079,0.008156361667900987,0.026132898587790773,0.020156387087287272,0.12740512990107541,0.033414683960626475,0.0073327803355591826,0.040757806432206084,0.018469282939872086
istp,0.00896346088563825,0.092612807861889,0.01775722184496332,0.014966854376475693,0.01592005154488793,0.05533443623008938,0.054907261759086085,0.021808256794042722,0.04655647385928953,0.11927655521928753,0.026751811948903217,0.06984667936562147,0.016828570459491043,0.053273269495287004,0.018552030715851087,0.20876472348886596,0.04507499002666732,0.011461013496604828,0.06898005576416229,0.032363476305099066
isfp,0.006961644960400662,0.07132482548929348,0.02941610328374543,0.013805995088920194,0.01662322383029151,0.05027806177583148,0.050979524140408544,0.025077267988947823,0.04259075943993757,0.14852871198776885,0.030026043301300487,0.09538602042719092,0.009504037318023304,0.03564947777815242,0.023032152527461176,0.2122143536083824,0.03013596920236994,0.007177366016836528,0.05767164271682545,0.043616818695638646
infp,0.007071514550057464,0.08008765902341167,0.021351261982876416,0.00834777895279515,0.015725340592647748,0.07957738778245464,0.09394564758198337,0.039117498312556384,0.04075421663273801,0.10346600404671749,0.015485055722275261,0.09136204242017477,0.015929218350432445,0.036398047519900736,0.029285407421250194,0.18510182161167343,0.022601460967417494,0.011412024550133513,0.07620819092235549,0.02677242169412975
intp,0.006236677222225636,0.07886973809717976,0.011740397668605951,0.009605476808624678,0.014331781853166645,0.08123882383021303,0.12237911319163201,0.03793182534450627,0.03841298916664981,0.07520419639872733,0.014468044555078012,0.07862986259838534,0.013647869927384735,0.03039833179664869,0.024647533557597003,0.2052609691784897,0.033275973260808715,0.010910657762745973,0.07700038182728888,0.035809357165255504
estp,0.014868661525433709,0.08212728831331333,0.0048969003044294366,0.0070725210152340874,0.008259642257671658,0.09419855417945655,0.07309448246785905,0.026764507150492136,0.033689891666508626,0.0756129045002308,0.031359863143024996,0.0769567229714994,0.012005267713957437,0.0309891705706832,0.01745755471800294,0.22574452152364757,0.019431408955297227,0.008319446276454983,0.1124412843677419,0.04470940511231675
esfp,0.006930275319252266,0.08915475129448043,0.01759240946920591,0.009475853754756618,0.009928855059439521,0.05019375662002064,0.06798522068305013,0.021953272351237993,0.03246624627844613,0.1140398456632231,0.009962264527154008,0.07531472305775935,0.015397702297388145,0.04915275729135097,0.028620305345246108,0.26386953778139033,0.024390673267045984,0.010790016980295724,0.06884230282361094,0.03393923011859526
enfp,0.008950701670960652,0.08980675415364359,0.009871151565975395,0.005739421878138866,0.013073517899598259,0.08590824897707294,0.12656294873609794,0.032644965997345454,0.03410810418289755,0.08499255309347992,0.01485387085572487,0.10979702587080291,0.01681051076300891,0.03563317250780089,0.02553635515476005,0.17884271347749486,0.02361226171415532,0.009849382525919784,0.0671687019464786,0.026237638317273736
entp,0.009989732591535386,0.09142107049961438,0.006032200119227956,0.007056356041744629,0.009283917777124921,0.07805193502848776,0.12009302905686722,0.02867826859506037,0.04349678655883128,0.05812558002720554,0.007828487452923777,0.06364364452104286,0.019248364062021107,0.05374185466341482,0.021927932936590407,0.2236049934203498,0.016359154011776685,0.011618234027317369,0.11579310087570277,0.014005356863630403
estj,0.018509773248050254,0.08204030588810529,0.019600622858517994,0.010531377090417125,0.017595639541985203,0.09931520927155946,0.16824360243737357,0.036870511486164485,0.02624477967498181,0.06035111867171464,0.013416226447678824,0.08757854896023752,0.006805460587965632,0.030959791599848865,0.025776581353416133,0.16543581706256516,0.032269354547993935,0.011929800840188824,0.05523019866178615,0.031295279022001694
esfj,0.017078919299144346,0.064504543274095,0.016745105274596772,0.024596944658194498,0.02725682950549526,0.06182944694519392,0.07674212630455648,0.019810545299107963,0.021217372380297524,0.11843738985981396,0.01705766090070981,0.10395671178505705,0.015273123973054767,0.02886532511795286,0.03304724912926585,0.20387387784699273,0.026561251269664528,0.006880207160949275,0.05153596067693365,0.0647294149580072
enfj,0.013141139641911334,0.08246734735946075,0.028424604647535982,0.00906873785719071,0.01671732197418698,0.08679517421887971,0.1392504891337363,0.03982786807744518,0.03192811651784463,0.08799732241315625,0.01934032571381492,0.09998678364244155,0.01335612040199265,0.02208673688665984,0.027376889046861055,0.14644924861232614,0.03290792144967346,0.016642894405729636,0.04250857866759976,0.04372637806348755
entj,0.013454302353398477,0.12225760923457107,0.013245401104720379,0.011140190194042282,0.013836044157837166,0.08494576022635932,0.23267865481269392,0.0238920115504916,0.021868373077506158,0.05132287159143235,0.012829977298835768,0.08274488620069557,0.008190465701518797,0.03234641165717446,0.02637235753086006,0.1414633267039428,0.021631361325078965,0.013949282468304099,0.04722145351611762,0.024609263533010003
