,Topic 0,Topic 2,Topic 3,Topic 4,Topic 6,Topic 7,Topic 8,Topic 9,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
istj,0.09479523302088708,0.04760208214721602,0.030128164359501653,0.027122567147706476,0.04629771576802274,0.03298345116968537,0.02563054442724438,0.026643757287292198,0.06817905454040188,0.0446775837674812,0.026066295513057874,0.025072732237638486,0.02468394561313721,0.027479114130519837,0.030669473899216784,0.006846644372380558
isfj,0.08021098041829716,0.05176377500838198,0.04892532129711721,0.030237007057411783,0.044865187604575495,0.04832917825488939,0.032137055889017156,0.02655726942342241,0.11917094282233558,0.0373474283404813,0.01309988503866267,0.034249173717878396,0.04073566830035046,0.02332779216900675,0.02140933607901948,0.0135828884316612
infj,0.054536386245274945,0.048040572431778776,0.032209381616664506,0.013497786311829048,0.05421764371742249,0.04940161191700414,0.056638057070100924,0.02370695951760118,0.06712115732880056,0.02905795933280902,0.024323881003393884,0.025392988922486544,0.022353904059604017,0.018040747414726062,0.04238451024590631,0.012469221325142396
intj,0.058268471226770945,0.0462641506702066,0.028877898404195773,0.012609897992404794,0.04755915488616463,0.03774788838358414,0.05259152417434384,0.02384504900587456,0.04679108139954828,0.03454388699987931,0.02302687470313378,0.016561158440402554,0.010713803674715472,0.017417352739981923,0.05174188154376123,0.006388935704009978
istp,0.08847957176198351,0.06368521772082418,0.03589555545619601,0.011809528220746815,0.06228448018130924,0.030711790369081293,0.01796194666419684,0.025633996514448986,0.08032416337012528,0.04619454782751559,0.012357492790607641,0.03233314866598109,0.02397516260889433,0.039627437034191686,0.0095437514932651,0.01136101394178517
isfp,0.07795558692598765,0.07067086188014303,0.04868755707866512,0.015850662437222558,0.055594792205168504,0.03195552328715754,0.02368507131879289,0.02396528421638994,0.0884909155788579,0.03371987935146193,0.011500480892828999,0.049364116273819446,0.032668732085293924,0.027902109708233112,0.012797570305114976,0.004956323913698943
infp,0.06006713184155651,0.05208611957008168,0.029682254055171223,0.014954635201682154,0.07713930167495543,0.05478599894690114,0.034057104727361155,0.022374800628262016,0.062486240038426996,0.034330589364951196,0.01665647856942927,0.03309389728402123,0.016123855594564696,0.026406276738983388,0.02318595646154254,0.006396986774289728
intp,0.07354451982565635,0.04478532466874515,0.023514184126003923,0.018371990637456266,0.07249452733696635,0.04591382574653387,0.03149007975110042,0.025469945437040106,0.04209035243677178,0.03853151105357143,0.011556416919243598,0.022015307550225415,0.022874976351195477,0.018734168515028526,0.02767828935824387,0.006167887559182086
estp,0.07883251265855507,0.0653158650235855,0.012840152210410452,0.01980697837250773,0.041196380994515495,0.03913074313117249,0.02202490450137702,0.01873964528655051,0.05625092253758339,0.03291421083667956,0.018233614150667564,0.02038380044959922,0.02184799882448715,0.012484768388712836,0.017490544492065965,0.0073129696444084406
esfp,0.07445505085903362,0.05033095511684767,0.02812082218186898,0.016199305515872495,0.06931359229992236,0.019824059716776754,0.02098306568030699,0.023498085796954806,0.06711499774764994,0.04646919504222918,0.030133000826528335,0.02163447203988078,0.019157678529279958,0.03242411468134629,0.014819859800527097,0.010745679213743704
enfp,0.05317297802548326,0.04194305917678978,0.015641901805588564,0.015415069035463854,0.06917195527261236,0.05474438871201634,0.04444343442251928,0.02040384004866621,0.05332736514892144,0.03624061834089383,0.018602480837463742,0.025136144897784225,0.01556334578166176,0.024999150264238216,0.031782067108491185,0.007041851690986849
entp,0.05800285240740897,0.03297241931893452,0.011062240101604042,0.006876851053461267,0.07175896287729741,0.04790312169889479,0.02780954807971177,0.018218215610398696,0.031936793098740125,0.04581509124030728,0.017726527623964327,0.013694071944928747,0.008555356547094405,0.03657828270484872,0.02590781475230537,0.010499373995167352
estj,0.0745085653783193,0.0374605396292158,0.027439828145204192,0.008404176376823244,0.05534907670534952,0.038439568523446925,0.04317495934137022,0.029018036973282528,0.0495691758035348,0.033258807450131565,0.020313703498686664,0.016151585614464652,0.023940094302097238,0.02163052922310552,0.038923026493895674,0.007823375332076533
esfj,0.061495677899802106,0.05937572223580598,0.04051833706325851,0.02599331754331832,0.060200567176521176,0.03490520279059031,0.021879281550424085,0.024484742367903458,0.08493017863164866,0.019887186657398984,0.03566175341769676,0.03251224806278644,0.037229298335192396,0.014408578675335905,0.018095274628250904,0.007103848913608263
enfj,0.06013355698227715,0.039428922742592624,0.034197165085931854,0.02181113583528678,0.0649680023731633,0.04261519791569116,0.05351108373897624,0.018447947697004075,0.053457316494922205,0.027568053078233873,0.02334772440133951,0.02969037225713172,0.02515463552104939,0.01283241099916682,0.030716821811621022,0.009943108782006597
entj,0.05025849044556633,0.03183090927066385,0.02449452549407524,0.013564144529426874,0.04198030248631917,0.03112633588001354,0.034758943074431246,0.022567672237727165,0.03207772222113788,0.05542786408801072,0.01622309162490396,0.01337743237741948,0.011747108919715624,0.015934851752134292,0.058009492337371356,0.00690428875916895
