,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
istj,0.026564341764424872,0.028204717218908923,0.06554526400516641,0.015234336246253073,0.16467925386794546,0.009131515953975176,0.04914580040736367,0.013701578201314804,0.04292039227542471,0.08955274399595088,0.02891255924130669,0.06959194241966381,0.0721556228150262,0.014894961889501833,0.002886202178638174,0.057926833033372926,0.02555644827035854,0.029161700443372407,0.044724559668291364,0.09240783741549341,0.03135673232838922,0.025744655687143903
isfj,0.01805336359924755,0.03124581604861505,0.0900265732457778,0.021599086103628658,0.13557399385351077,0.008529880414973557,0.02988466954325754,0.009612997992062847,0.043523571204802,0.0786169726917341,0.032075201316759346,0.04229649069324356,0.10623171043936044,0.021027563743460872,0.008701328749159255,0.047277940931003334,0.01816084174255853,0.02800173116048217,0.057162377941330014,0.12845922705432863,0.02321733239009668,0.020721329873745014
infj,0.015148094580361253,0.02918807651540734,0.1139272147102312,0.010510129344295363,0.1488994641685982,0.013216621929225878,0.05660152816930411,0.010043020239246,0.03548416807125585,0.11850220631363115,0.02561972366903141,0.08673104326434568,0.07161980569942634,0.029218478531437865,0.004908131034614772,0.03813033566244225,0.012332352428118408,0.021823353657284,0.029088395303911302,0.08484015097411372,0.02916505799937028,0.015002648550989546
intj,0.012815658832566119,0.022095359576431273,0.09470912439422448,0.01096457963650115,0.1519995313512514,0.013478728479990789,0.07589632162361831,0.008008918483691153,0.029973495981069364,0.12371353248483627,0.02121487936547614,0.13259209760878005,0.062100774263697915,0.0236253307432292,0.009081685224212654,0.04184844611035971,0.019133977507813673,0.030271346501470196,0.018438123693924818,0.058504627932756785,0.022962997758185874,0.01657046256231985
istp,0.025828478989314934,0.03756494134738319,0.04022102363156892,0.00828401366720685,0.183069271241817,0.018473038603857853,0.016003198690034654,0.006949906060536435,0.04218208757511955,0.0901701994588473,0.03397690882075568,0.040880203934843,0.09118677481394773,0.023807115223506963,0.007073052599060453,0.0837819868361975,0.030280139695572236,0.040751036279848156,0.029150869347952912,0.08792940488467905,0.020797707317955712,0.041638640585506856
isfp,0.019804507465245633,0.028996970266844346,0.050367318247216145,0.01091081824063198,0.1648884156660573,0.013526964909578469,0.017783467585396943,0.008566520698099716,0.04346679794427315,0.09609618545755315,0.022598244295240925,0.029715055154855136,0.13526119842852902,0.026869111962461053,0.008204302258612656,0.07547840454092715,0.017273882233351533,0.027921741406034355,0.04364891189794306,0.10483509248460757,0.02804123468511247,0.02574485747650227
infp,0.02032995264261829,0.024433168486942516,0.06109977616641447,0.008935074474322048,0.16601802423695783,0.011613819052037965,0.03391458304484306,0.00801785631885619,0.05855546378753869,0.12412810134174065,0.02363936245457833,0.052107180019715864,0.08452821295526372,0.038463446194097986,0.0031118477552556497,0.07087343289184533,0.019576516039955614,0.026816953010389787,0.024666704121374946,0.08546352531214235,0.029719613475879588,0.02398738568927668
intp,0.021394388570914025,0.019470738405706192,0.04754735752105192,0.010925402709004241,0.1653239433528028,0.013174301935811376,0.040968129281738444,0.006878216215403507,0.053957233751607735,0.1386208854006881,0.02647457038513143,0.07651075368705389,0.061215232650413814,0.032724559216998975,0.004435181276520422,0.07981047269585216,0.025376615366017305,0.032868257894397256,0.033904240778316046,0.06364464363267008,0.026403674503031813,0.018371201390301215
estp,0.017912674903891458,0.022681335093730014,0.06584416258821875,0.0042726925841452615,0.175548924582763,0.016876048597605404,0.0259676020625011,0.01609073612266002,0.05524436516951028,0.12491944164983579,0.0189890550509881,0.05331138888488567,0.0643618221693032,0.039262579780261146,0.0021218866953859107,0.08488552223778242,0.025348275371070487,0.052024960243688835,0.04368046521089127,0.06213925422583998,0.015886583313658775,0.012630226945366302
esfp,0.018332468440045584,0.03431438869921848,0.05373255117661631,0.006880367924952288,0.19427380269363134,0.00967528323985005,0.0252533442310872,0.006850339052201387,0.030883066673533025,0.09772927718229808,0.02269443784266566,0.04791909199951173,0.06996090733817296,0.03740310328220371,0.003663822681338733,0.10537525895295236,0.027450954215327193,0.035908650603159495,0.03219963921887468,0.08914454028801064,0.02000651952827563,0.03034818845954478
