,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 11,Topic 12,Topic 13,Topic 15,Topic 16,Topic 17,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23
istj,0.03051915504845923,0.09265393908408863,0.048746560945179776,0.04436953045665897,0.07189906955277559,0.027997086872406395,0.02343734259242108,0.025155352305102994,0.012794753615560546,0.07583377455611365,0.011136495338711822,0.013113717462414057,0.045208959275603415,0.008865259081271004,0.013391619931056692,0.018817956306060486,0.011798427914409928,0.015250753052127438,0.02101700909399271,0.04026327844976163,0.02967326567501412
isfj,0.025693104977053335,0.07153755486952222,0.039821437696940805,0.058697611287323447,0.04216076859022776,0.04586888583554645,0.018722164588400498,0.020108628867526953,0.018217627996379163,0.07292086279883753,0.014169312876819586,0.009370818633175116,0.055221461193623624,0.010237866123084182,0.015552804456062434,0.018924989032092235,0.021970783059589518,0.033381577676719135,0.031236322504840215,0.06613206958610925,0.028668042227324334
infj,0.01670800948087165,0.05368883631394522,0.06077815258882497,0.029858259109524585,0.08538529858817065,0.025076249157174667,0.01589254256202918,0.019344421934108184,0.01648654936125137,0.04636101335110984,0.0166497027156324,0.01960087678923018,0.06602451659232829,0.010929980603659602,0.011842626895630875,0.018634112549382752,0.01578522643433049,0.019992142749628915,0.023987078909437944,0.04164750284603985,0.027166045566797036
intj,0.022561028837705277,0.055297802819998194,0.05441287752832028,0.019679448353193164,0.13543970794291987,0.02065365354688339,0.01567383771662056,0.017787963962744544,0.013935850335298632,0.042723282378958664,0.012255003455643867,0.01830820806011262,0.05310223902476389,0.012491138814057404,0.008621030641447777,0.018936873182312606,0.009741558527730492,0.014339680813360286,0.02138316125444773,0.03590544685503864,0.0259650525516028
istp,0.03610058427512387,0.09916690210035581,0.03642907429997543,0.027605339475579947,0.030331940126143587,0.031040995884909436,0.03682798897830044,0.0317543865996513,0.018700038356146587,0.06018683710276255,0.024605623491284465,0.01431001312858611,0.05949578397203285,0.007029592174276943,0.01927693117897367,0.022087166491117898,0.016003775802855336,0.016407345992318797,0.02944424459966822,0.05244312967787294,0.03883604995863587
isfp,0.02379567360587777,0.09944735893365911,0.03534543185725371,0.04224646546531688,0.02889965345429557,0.030246757939328236,0.02401294765093439,0.015509714264694581,0.03126912999965245,0.08224827995044746,0.015089928976036336,0.012704137495290825,0.06442662549074038,0.014413368162496902,0.02121396712802667,0.015694209101609253,0.01919568067528206,0.03254001369871009,0.02826104056699275,0.03538801922117798,0.03378792425214285
infp,0.02339550465630638,0.08130576993874011,0.041853798559027315,0.025526525119270567,0.0541035583213097,0.028887994237883165,0.023010607110720935,0.014719151365336554,0.029071196659480644,0.04706176378710499,0.026051537791268307,0.020185322556769483,0.06266203393986278,0.01191326842928672,0.012222906050059728,0.022823178192837433,0.011840262918620755,0.02273014590443272,0.016934820662087777,0.031794784869816795,0.044669013408794096
intp,0.027785432386740406,0.09954490131335621,0.03944186459536527,0.03363734885885766,0.07775132144889527,0.026852006671767865,0.017763324353057244,0.022176563354982973,0.015523729234611306,0.045700142945112314,0.02060909840366222,0.014562093223597528,0.059707743195417745,0.01159867292729625,0.01055940945114817,0.022447791909267503,0.011500756194324545,0.012142474292881011,0.014796453188334243,0.025435441930918245,0.04026801039803952
estp,0.02987105117417741,0.08407066558373116,0.039942624573450304,0.04379574604996378,0.04373074528670259,0.03427103756390352,0.014570396451181295,0.01858198844374783,0.014595218863196351,0.04881412768407244,0.016714847411403753,0.02426160148004783,0.05861771036190475,0.006881229146474652,0.018631527135348734,0.012724090615174646,0.023092985770799716,0.003965134942900477,0.012685532863670232,0.026518079940378813,0.037079526157467624
esfp,0.03394438049688416,0.1219443063360479,0.04812201249804839,0.03193469934984901,0.04121955930661469,0.04040311857983627,0.030861893527684117,0.018993761452711415,0.014689088977278537,0.0422861231022214,0.024011264677488497,0.019888415199790777,0.07193293004124356,0.010624799679511665,0.008445603849144516,0.016149155491196627,0.010539803272532199,0.02171078514590496,0.018997414194603768,0.04052092073437251,0.028316871206572676
enfp,0.0243999584592295,0.057666786338586774,0.057383540524250744,0.025843419580079623,0.06825818986971045,0.03612374572523814,0.023220509386570155,0.015736576265334718,0.01677216419333907,0.037114833642262264,0.024619417261429567,0.02095786085244879,0.060965077000520944,0.008455663735546279,0.011796302086549137,0.01695402702960599,0.012542246853325232,0.010678307010520081,0.013495664718512348,0.03626875996806233,0.03262300542302039
entp,0.03210949974727965,0.10401091519960663,0.04287778950613849,0.014222724816564917,0.07603204150522984,0.027650900205227407,0.03656743590349605,0.015139332264703528,0.013764674419451969,0.022743317664624136,0.02986150677185693,0.022164329395170615,0.04348848285497572,0.00968704026759964,0.005021817453075804,0.014215369779190301,0.022315221758441015,0.007081842920829811,0.013428111073806126,0.02313893815065954,0.040146994872173644
estj,0.022958632504194186,0.0707825477131539,0.06248259937716666,0.037265761741371445,0.11273688011252814,0.019160727784024115,0.02088575652577461,0.01566477473814886,0.007541474559292072,0.045605633084792145,0.014280129707890691,0.030222959536309015,0.06434563355997168,0.005878041728296752,0.00913392846917832,0.020450749843623696,0.015601108868608724,0.019394237908070662,0.010731365181942957,0.03777327712547655,0.02185017712315725
esfj,0.018637491411278635,0.07558949027431178,0.06787844230098666,0.060587626090741004,0.03515296077668955,0.03121078362935458,0.014767799101900892,0.012855811213012203,0.01916072269334455,0.05951678021764175,0.024142148159582922,0.025919895546550314,0.06833093193587653,0.03020244710366699,0.016314125359955748,0.01589387059206534,0.015243609060191721,0.01777041650866089,0.03212079874468882,0.04177525969940429,0.019574121913285038
enfj,0.018711248496278917,0.05462099895161598,0.06868720444936292,0.04121706092182403,0.07370656737280765,0.034500555723830026,0.012435016523158291,0.016880690578250937,0.02733482513622045,0.03383501219341129,0.01820592892430564,0.0192282892255021,0.07934187771908038,0.009676316835983466,0.012391684396132398,0.027479298133367244,0.008504841753453186,0.034728581989266476,0.021185312113868846,0.03841045363641917,0.029583592926874507
entj,0.04230930803279865,0.04927057319775655,0.07008309607387729,0.022556935403747216,0.15310341662162144,0.022531898765101102,0.018616177059453308,0.020942543209190347,0.010255993917881925,0.029720163887361855,0.008981247139209735,0.013084073891906465,0.03681242132229419,0.019159160609545922,0.007038403647530558,0.019280246450635072,0.0052618113393130906,0.015037567513127703,0.012721369668751025,0.040731006592625726,0.015182627496912205
