,E,I,S,N,T,F,J,P
Topic 0,0.10227410199872479,0.12855503191143108,0.13355672375685174,0.09727241015330419,0.09558558595751543,0.13524354795264046,0.11577218410959773,0.11505694980055818
Topic 1,0.023364401040894094,0.024491919449471322,0.025030563799291538,0.022825756691073874,0.02330013178202433,0.024556188708341083,0.018893248706215334,0.028963071784150078
Topic 2,0.1176587410577942,0.10271651570064862,0.12531146141921878,0.09506379533922403,0.11088919355524156,0.10948606320320126,0.08226952576883399,0.13810573098960882
Topic 3,0.05725993383920601,0.06177964373251463,0.05420731240512226,0.06483226516659837,0.059316090305820614,0.059723487265900016,0.05308021754395804,0.06595936002776259
Topic 4,0.013074109020209756,0.014605252103933349,0.015526066738375296,0.01215329438576781,0.011408824966906603,0.0162705361572365,0.013231626393458753,0.014447734730684354
Topic 5,0.13930308790764823,0.10089963726200393,0.110212839612378,0.12998988555727414,0.12772079131047515,0.11248193385917703,0.09810417489721904,0.14209855027243312
Topic 6,0.12718811758563153,0.10248592653534733,0.10672584425905289,0.12294819986192598,0.10797852327386503,0.12169552084711385,0.13369649530038047,0.09597754882059839
Topic 7,0.021335112207624594,0.03151974872796278,0.028855301975974725,0.02399955895961265,0.018542607817922926,0.03431225311766445,0.028575941996295172,0.024278918939292207
Topic 8,0.04627184104981629,0.04141010814068584,0.02980116012809256,0.05788078906240957,0.050107412334760015,0.03757453685574212,0.05500381141551269,0.032678137774989444
Topic 9,0.0571496794777574,0.06127359931840357,0.05110682882670412,0.06731644996945685,0.05742596287768715,0.06099731591847382,0.05143843580214799,0.06698484299401297
Topic 10,0.017810872661416698,0.014464153812773103,0.015422485079977262,0.016852541394212536,0.013522125956816834,0.018752900517372967,0.014172617990350578,0.018102408483839223
Topic 11,0.016059981297425745,0.024028353467975747,0.023108378919889972,0.016979955845511516,0.017131009495260342,0.022957325270141146,0.022837000267249583,0.017251334498151912
Topic 12,0.03214717385013735,0.03322036009937279,0.03093550833901388,0.03443202561049627,0.0351712007502839,0.030196333199226252,0.029290519210188715,0.03607701473932143
Topic 13,0.00027487441229130714,0.050542191553969225,0.050525160979185524,0.0002919049870750106,0.05051359044890749,0.00030347551735303887,0.05050398603891825,0.0003130799273422835
Topic 14,0.04894996622336702,0.0565659027319402,0.04853686002357913,0.05697900893172807,0.05061022961877312,0.054905639336534084,0.05790870564679225,0.04760716330851495
Topic 15,0.026535131719528884,0.02651323177593865,0.030744075379949526,0.022304288115518003,0.022217874503744246,0.030830488991723283,0.024807674086602505,0.028240689408865025
Topic 16,0.040446363107175316,0.033426903780698985,0.038499933887532076,0.03537333300034222,0.03664111157557303,0.037232155312301264,0.03432989109627031,0.039543375791603996
Topic 17,0.09145117444727509,0.07326704459789436,0.06218312680584571,0.10253509223932375,0.09360364796581457,0.07111457107935489,0.10083275329705083,0.06388546574811862
Topic 18,0.021445337143747138,0.01823447478390385,0.019710367100866197,0.01996944482678479,0.018314085428033925,0.021365726499617065,0.015251190262492022,0.024428621665158964
