,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
istj,0.021803362699282628,0.031353869359627,0.04585841023473858,0.002830245771555906,0.048600610076925364,0.016880468713247953,0.031538135923600184,0.01892655306794293,0.020105261503714073,0.013611163080990307,0.048690021650345514,0.02066851996465089,0.01532114094257695,0.03745800837281717,0.04885489955121904,0.05632777480116893,0.0057029962457165176,0.028469162916243896,0.01640105332811673,0.06030267799288809,0.41029566172582305
isfj,0.049322619381820296,0.06230340235045303,0.08422870768181683,0.008432836705501509,0.04423536298722016,0.024829340476052102,0.07020153805865698,0.024807129469651384,0.03590089005658708,0.046463191881599954,0.04914571011473667,0.08153486058840277,0.04312838382220734,0.058121516189932845,0.06135907708238057,0.11499721406237638,0.006921162792123441,0.03495953374731671,0.015531012888089578,0.08115878729449333,0.0024177211254717114
infj,0.04539602732764074,0.06558845268336846,0.05485312072387138,0.014113011418735716,0.08342094226709902,0.038912242754539736,0.035592805630647595,0.01959824700128371,0.04241179713452548,0.03336630705177922,0.0709013015741389,0.04032592863606233,0.0346151138659352,0.09227353427314426,0.1137226968048097,0.08564321350943431,0.007224374040109352,0.021378919740990557,0.012546825326386126,0.0870430068331987,0.0010721313864276406
intj,0.04418140113931036,0.051837221723759104,0.07222702872182224,0.008948201376648302,0.12269984659727548,0.040069194856424656,0.022435832481776757,0.019271975136604422,0.03099158120676759,0.02261897145911109,0.07630254345807742,0.02669204688443761,0.02724152366538894,0.09098322596928739,0.13545820022811778,0.07811718756378848,0.010717732151747983,0.02051793760678284,0.01016258156181879,0.08729447639848593,0.0012312894748100988
istp,0.04694873814126448,0.04855345291995503,0.16582083875922712,0.009335062829024637,0.029003612690004277,0.022323685874747732,0.02927261161391334,0.044136833111232746,0.03824921281578319,0.03526332376158828,0.06719822502795686,0.039858347458277356,0.033184424508229504,0.06739990009880602,0.04166201692754873,0.11017157739638536,0.015430913507095174,0.03257863376114182,0.021326726997536495,0.10195833430493997,0.00032353040529103504
isfp,0.05773659432343364,0.07339482147618367,0.13109753462031568,0.008616702766286156,0.028158242456987375,0.024423728462466297,0.050083760819431174,0.03250233956939529,0.03678167785226199,0.04250246964394491,0.08277809154678438,0.052931562417861816,0.02410654465599545,0.06577916721416395,0.028475740874636276,0.12960444020407705,0.007947595648752076,0.02717018014065333,0.020465608270844725,0.07493481525361809,0.0005083806757132868
infp,0.055556032604792346,0.06859240613331294,0.1082026440034413,0.012276039492841425,0.05102647218908446,0.034052688044406164,0.030163887195399374,0.03078516832554644,0.05300910904388757,0.03563237025929693,0.08273281156288591,0.03686658207392293,0.03977159112608847,0.08338111769110933,0.055350145540664565,0.08937089545483823,0.013401186670804257,0.018340581464144634,0.014085513051138438,0.0856949501483771,0.0017078079826618685
intp,0.06339056816425546,0.056581533044785075,0.12932444153084496,0.010643521726570545,0.06726867103543387,0.038231231603415745,0.03954671018001662,0.022486007030722864,0.04513888295146724,0.02202126598874351,0.09033075207490895,0.02433052385584325,0.0350546386487041,0.10036780896094058,0.06126816552393082,0.06922786148041989,0.012724273094999667,0.021958967379046755,0.009861048068098337,0.07913011504124134,0.0011130126222807905
estp,0.05286319849459687,0.05610582318593515,0.1603240076372458,0.01694281298550777,0.03854541393389809,0.050188519453513436,0.04373679630873085,0.014460921865611454,0.02763930347558926,0.020643083431787092,0.10013662716984982,0.027825881355893214,0.02618153890791291,0.11983650399430189,0.05733364290856116,0.0743049012690608,0.010017586189169378,0.014479139736431534,0.01413996243114525,0.07371322991366469,0.0005811062722204951
esfp,0.06636897092297052,0.06767995937643091,0.17855076564132336,0.012287818595744274,0.03951374168503406,0.02272194139564901,0.03309034695944999,0.03420626499950879,0.04188645512506067,0.03951594927919401,0.053908307143815205,0.039495999145516575,0.021998732263496985,0.07569588413677812,0.043382342083751954,0.09078881127393758,0.010686718333153263,0.015513354084070105,0.008055162352676056,0.10178841351356321,0.0028640600513039965
